Strain,Sex,Age,ID,ALB g/dL,ALT IU/L,BUN mg/dL,CAL mg/dL,CHOL mg/dL,GLU mg/dL,HDLX mg/dL,PHOS mg/dL,T4 ug/dL,TP g/dL,TRIG mg/dL,NA mmol/L,K mmol/L,CL mmol/L,NEFA mEq/L,LDLD mg/dL,CO2 mmol/L,,
5557,M,8,6,2.6,26,18.0,9.3,101,204,82.1,9.8,5.3,4.6,80,154.3,4.42,114.8,1.2,,,,
5557,M,8,7,2.6,21,19.0,9.2,89,248,74.0,8.3,5.1,4.4,66,152.7,4.48,114.9,1.21,,,,
5557,M,8,8,2.7,22,20.0,9.5,97,264,82.2,8.0,4.9,4.6,63,152.2,5.35,114.5,1.03,,,,
5557,M,8,9,2.6,19,16.0,9.2,96,270,80.5,6.7,4.8,4.5,60,150.8,4.55,115.1,1.08,,,,
5557,M,8,10,2.7,,17.0,9.3,97,267,,7.6,5.0,4.7,,,,,,,,,
5557,M,8,11,2.8,27,21.0,9.9,96,226,83.0,7.2,5.1,4.8,74,145.5,5.48,122.6,0.82,,,,
5557,M,8,12,2.9,26,20.0,10.2,98,287,84.2,9.0,6.4,4.9,69,147.8,4.13,122.8,0.97,,,,
5557,M,8,13,2.9,30,18.0,9.8,96,329,81.6,8.5,4.9,4.9,104,158.9,4.84,115.6,0.67,,,,
5557,M,8,14,2.8,33,20.0,10.3,98,286,80.6,9.2,5.2,4.9,94,148.9,5.74,121.2,0.79,,,,
5557,M,8,15,2.7,29,19.0,10.4,98,238,82.2,9.3,4.6,4.7,99,148.6,5.02,126.5,0.77,,,,
5557,M,8,16,2.8,31,17.0,10.3,109,249,92.7,8.7,4.8,5.1,75,147.9,5.09,121.6,0.60,,,,
5557,M,8,17,2.6,,,9.6,,,,,,,,,,,,,,,
5557,M,8,18,2.8,22,19.0,9.9,100,250,83.6,8.7,6.6,4.9,89,144.9,5.37,126.0,0.75,,,,
5557,M,8,19,2.7,24,18.0,9.5,94,229,81.0,6.3,5.0,4.7,75,155.4,3.88,121.4,0.52,,,,
5557,M,8,20,2.7,24,22.0,9.3,94,210,81.6,6.5,4.4,4.7,54,157.6,4.47,117.3,0.45,,,,
5557,M,8,21,3.2,29,28.0,12.0,111,268,89.3,11.9,6.8,5.5,172,158.3,5.71,118.9,0.98,1.73,22.2,,
5557,M,8,22,3.0,30,24.0,10.7,118,262,91.0,9.1,6.2,5.4,191,151.6,5.18,115.1,1.57,1.83,23.6,,
5557,M,8,23,2.9,24,25.0,10.5,117,258,89.5,9.6,5.7,5.0,178,148.2,4.84,113.0,1.28,1.61,22.6,,
5557,M,8,24,3.2,27,26.0,10.5,112,253,89.0,7.8,7.4,5.6,153,150.5,4.81,117.8,1.16,1.87,20.9,,
5557,M,8,25,2.9,23,26.0,10.7,111,294,85.7,8.9,4.7,5.2,204,149.1,4.43,119.4,1.53,1.84,22.9,,
5557,M,8,26,3.2,26,25.0,10.7,121,246,94.4,9.6,6.1,5.6,208,154.3,4.92,119.7,1.33,1.63,22.7,,
5557,M,8,27,2.9,23,26.0,10.5,110,296,87.9,9.2,6.8,5.2,131,150.6,5.06,115.6,1.23,1.88,22,,
