Strain,Sex,Age,Mouse #,BW (g)- Scale,Bone Mineral Density (g/cm2),Bone Mineral Content (g),Bone Area (cm2),Lean Tissue (g),Fat Tissue (g),% Fat Tissue,DEXA BW (g; Total Tissue),,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,13,,0.0573,0.529,9.25,20.8,8.4,29.3,28.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,14,,0.0570,0.502,8.8,19.2,6.8,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,15,,0.0626,0.594,9.49,19.5,4.7,24.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,16,,0.0605,0.483,7.98,21.0,11.4,32.3,35.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,17,,0.0553,0.472,8.55,19.9,6.2,26.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,18,,0.0571,0.544,9.52,20.2,5.1,25.3,20.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,19,,0.0613,0.568,9.27,20.7,6.9,27.6,24.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
