Strain,Sex,Age,ID,WBC x10^3/uL,RBC x10^6/uL,HGB g/dL,HGBCell g/dL,HCT %,MCV fL,MCH pg,MCHC g/dL,CH pg,CHCM g/dL,RDW %,HDW g/dL,PLT x10^3/uL,PDW% %,MPV fL,MPM pg,%NEUT ,%LYMPH ,%MONO ,%EOS ,%BASO ,%LUC ,%RETIC ,#RETIC 10^9cells/L,CHR pg,CHm pg,#NEUT 10^3cells/ul,#LYMPH 10^3cells/ul,#MONO 10^3cells/ul,#EOS 10^3cells/ul,#BASO 10^3cells/ul,#LUC 10^3cells/ul,,,,,,,,,
5557,M,16,1,0.47,6.99,10.5,9.8,33.1,47.3,15.0,31.7,14.0,29.6,13.6,2.34,604,46.4,4.9,1.22,54.1,14.1,4.9,12.4,0.8,14.6,3.46,241.8,15.7,14.4,0.25,0.07,0.02,0.06,0.00,0.07,,,,,,,,,
5557,M,16,2,0.56,7.39,11.4,10.2,34.7,46.9,15.4,32.8,13.8,29.5,13.4,2.25,1065,41.1,4.7,1.21,65.8,11.9,9.8,12.3,0.4,0.2,3.66,270.2,15.5,14.3,0.37,0.07,0.06,0.07,0.00,0.00,,,,,,,,,
5557,M,16,3,0.53,7.66,11.7,10.5,36.5,47.6,15.3,32.1,13.7,28.9,13.3,2.27,1242,41.0,4.8,1.22,67.4,21.1,2.9,8.3,0.7,0.4,3.71,284.5,15.5,14.2,0.35,0.11,0.02,0.04,0.00,0.00,,,,,,,,,
5557,M,16,4,0.49,6.97,10.9,9.8,33.7,48.4,15.7,32.4,14.0,28.9,13.6,2.26,849,45.9,4.8,1.22,50.2,14.9,4.0,15.5,0.9,15.3,3.51,244.3,15.7,14.5,0.25,0.07,0.02,0.08,0.00,0.07,,,,,,,,,
5557,M,16,5,0.58,7.86,11.9,11.0,36.8,46.8,15.2,32.5,13.9,29.8,13.7,2.36,1164,41.2,4.8,1.23,63.8,13.5,6.9,10.7,0.8,5.1,3.74,294.5,15.7,14.4,0.37,0.08,0.04,0.06,0.00,0.03,,,,,,,,,
5557,M,16,6,0.33,5.36,8.2,7.4,24.9,46.4,15.3,32.9,13.7,29.6,13.6,2.34,447,47.6,4.9,1.19,60.5,13.5,5.9,19.7,0.7,0.3,3.28,175.8,15.4,14.2,0.20,0.05,0.02,0.07,0.00,0.00,,,,,,,,,
5557,M,16,7,0.44,6.53,9.8,9.1,30.5,46.7,15.0,32.2,13.9,29.9,13.5,2.36,628,42.7,4.7,1.22,59.1,16.1,6.2,18.5,0.5,0.0,3.52,229.4,15.6,14.4,0.26,0.07,0.03,0.08,0.00,0.00,,,,,,,,,
5557,M,16,8,0.27,5.44,8.5,7.7,26.1,47.9,15.6,32.5,14.1,29.5,13.9,2.35,312,44.1,4.9,1.21,69.1,10.1,3.6,17.3,1.3,0.0,3.16,172.1,15.9,14.6,0.19,0.03,0.01,0.05,0.00,0.00,,,,,,,,,
5557,M,16,9,0.62,7.64,11.7,10.7,36.3,47.5,15.3,32.2,13.9,29.4,14.5,2.30,1465,37.3,4.6,1.22,75.3,12.9,5.1,6.6,0.4,0.2,3.04,232.4,15.6,14.5,0.47,0.08,0.03,0.04,0.00,0.00,,,,,,,,,
5557,M,16,10,2.22,8.03,11.9,,39.3,48.9,14.8,30.3,,,19.8,,1078,,5.3,,45.2,25.59,26.27,2.6,0.35,,,,,,1,0.57,0.58,0.06,0.01,,,,,,,,,,
5557,M,16,11,1.44,7.66,11.5,,35.2,46,15,32.7,,,18.4,,1127,,4.9,,44.77,22.13,32.37,0.5,0.23,,,,,,0.64,0.32,0.47,0.01,0,,,,,,,,,,
5557,M,16,12,1.54,7.44,10.9,,34.2,46,14.7,31.9,,,18.6,,1080,,4.9,,44.29,23.17,31.53,0.81,0.21,,,,,,0.68,0.36,0.49,0.01,0,,,,,,,,,,
