Strain,Sex,Age,Mouse ID,% Viable cells of total events,% B Cells of Viable Cells,% T cells of Viable Cells,% CD4 T Cells of Viable Cells,% CD8 T Cells of Viable Cells,% NK T Cells of Viable Cells,% NK Cells of Viable Cells,% Monocytes of Viable Cells,% Neutrophils (Granulocytes) of Viable Cells,% Eosinophils of Viable Cells,% DC of Viable Cells,% CD25+ of CD4 T Cells,% Plasmacytoid DC,,,,,,,,,,,,
5557,F,16,3,7.48,0.14,0.02,0.00,0.01,0.00,0.49,5.10,9.37,0.23,1.11,0.00,0.81,,,,,,,,,,,,
5557,F,16,4,12.50,0.16,0.00,0.00,0.00,0.00,0.36,3.94,4.53,0.17,1.05,0.00,0.72,,,,,,,,,,,,
5557,F,16,5,9.04,0.14,0.01,0.00,0.00,0.00,0.47,4.75,5.76,0.23,1.17,0.00,1.17,,,,,,,,,,,,
5557,F,16,6,8.76,0.11,0.00,0.00,0.00,0.00,0.43,4.37,5.33,0.18,1.17,0.00,1.16,,,,,,,,,,,,
5557,F,16,7,10.80,0.12,0.00,0.00,0.00,0.00,0.32,3.72,5.64,0.16,0.90,0.00,0.89,,,,,,,,,,,,
5557,F,16,8,14.50,0.10,0.00,0.00,0.00,0.00,0.28,3.06,3.77,0.15,0.84,0.00,0.53,,,,,,,,,,,,
5557,F,16,9,10.50,0.15,0.00,0.00,0.00,0.00,0.39,4.64,6.26,0.22,0.93,0.00,0.82,,,,,,,,,,,,
5557,F,16,10,8.91,0.08,0.01,0.00,0.00,0.00,0.39,4.07,6.67,0.24,1.08,0.00,0.96,,,,,,,,,,,,
5557,M,16,1,8.76,0.15,0.01,0.00,0.00,0.00,0.63,5.83,6.04,0.18,1.45,0.00,1.13,,,,,,,,,,,,
5557,M,16,2,8.01,0.22,0.00,0.00,0.00,0.00,0.69,6.49,4.62,0.13,1.46,0.00,1.48,,,,,,,,,,,,
5557,M,16,3,8.09,0.21,0.00,0.00,0.00,0.00,0.72,5.43,5.47,0.17,1.32,0.00,1.30,,,,,,,,,,,,
5557,M,16,4,8.29,0.17,0.01,0.00,0.00,0.00,0.75,4.93,4.20,0.19,1.49,0.00,1.61,,,,,,,,,,,,
5557,M,16,5,6.85,0.23,0.00,0.00,0.00,0.00,0.88,6.58,6.20,0.25,1.99,0.00,1.64,,,,,,,,,,,,
5557,M,16,6,8.72,0.17,0.00,0.00,0.00,0.00,0.63,5.19,4.68,0.16,1.53,0.00,1.48,,,,,,,,,,,,
5557,M,16,7,6.69,0.18,0.01,0.00,0.00,0.00,0.66,6.28,5.63,0.19,1.62,0.00,1.24,,,,,,,,,,,,
5557,M,16,8,8.50,0.16,0.01,0.00,0.00,0.00,0.88,5.72,5.50,0.20,1.64,0.00,1.20,,,,,,,,,,,,
5557,M,16,9,8.24,0.19,0.00,0.00,0.00,0.00,0.76,6.61,4.05,0.23,1.93,0.00,1.49,,,,,,,,,,,,
5557,M,16,10,9.36,0.24,0.00,0.00,0.00,0.00,0.64,6.24,4.35,0.21,1.33,0.00,1.30,,,,,,,,,,,,
5557,F,16,1,46.00,0.57,0.00,0.00,0.00,0.00,0.39,1.76,5.96,0.05,1.77,0.00,0.74,,,,,,,,,,,,
5557,F,16,2,45.20,0.88,0.00,0.00,0.00,0.00,0.58,2.66,6.71,0.11,2.93,0.00,1.01,,,,,,,,,,,,
5557,F,16,3,45.50,0.94,0.00,0.00,0.00,0.00,0.68,2.43,8.39,0.13,2.57,0.00,1.11,,,,,,,,,,,,
5557,F,16,4,6.58,0.96,0.00,0.00,0.00,0.00,0.87,3.71,8.27,0.20,3.11,0.00,1.14,,,,,,,,,,,,
5557,F,16,5,6.82,1.05,0.01,0.00,0.00,0.00,0.66,3.00,8.82,0.17,2.67,0.00,1.20,,,,,,,,,,,,
5557,F,16,6,7.33,0.64,0.00,0.00,0.00,0.00,0.78,2.78,9.49,0.15,2.45,0.00,0.78,,,,,,,,,,,,
5557,F,16,7,8.78,0.88,0.00,0.00,0.00,0.00,0.59,2.70,5.76,0.11,2.69,0.00,0.99,,,,,,,,,,,,
5557,F,16,8,8.34,0.88,0.00,0.00,0.00,0.00,0.64,3.16,10.10,0.15,2.50,0.00,0.97,,,,,,,,,,,,
5557,F,16,9,10.10,0.90,0.00,0.00,0.00,0.00,0.61,2.53,7.25,0.12,2.01,0.00,1.06,,,,,,,,,,,,
5557,F,16,10,7.89,0.90,0.01,0.00,0.00,0.00,0.67,3.12,8.91,0.12,2.46,0.00,1.01,,,,,,,,,,,,
5557,M,16,1,9.61,0.78,0.00,0.00,0.00,0.00,0.62,2.61,6.33,0.09,1.90,0.00,0.95,,,,,,,,,,,,
5557,M,16,2,11.10,0.98,0.01,0.00,0.00,0.00,0.77,2.94,5.55,0.11,1.98,0.00,1.08,,,,,,,,,,,,
5557,M,16,3,7.63,0.93,0.00,0.00,0.00,0.00,0.89,2.66,6.02,0.13,2.44,0.00,1.02,,,,,,,,,,,,
5557,M,16,4,7.22,1.63,0.00,0.00,0.00,0.00,1.09,3.46,7.23,0.16,2.90,0.00,1.93,,,,,,,,,,,,
5557,M,16,5,7.39,1.45,0.01,0.00,0.00,0.00,0.98,3.41,6.95,0.14,3.08,0.00,1.59,,,,,,,,,,,,
5557,M,16,6,9.10,0.89,0.00,0.00,0.00,0.00,0.81,3.08,5.18,0.13,2.67,0.00,1.16,,,,,,,,,,,,
5557,M,16,7,8.25,0.98,0.00,0.00,0.00,0.00,0.65,2.60,4.84,0.07,2.80,0.00,1.13,,,,,,,,,,,,
5557,M,16,8,8.74,0.62,0.01,0.00,0.00,0.00,0.79,2.25,5.10,0.11,2.40,0.00,0.75,,,,,,,,,,,,
5557,M,16,9,7.43,1.30,0.00,0.00,0.00,0.00,1.25,3.94,6.27,0.17,4.46,0.00,1.40,,,,,,,,,,,,
5557,M,16,10,7.42,1.00,0.01,0.00,0.00,0.00,0.86,2.37,6.59,0.09,1.96,0.00,1.15,,,,,,,,,,,,
5557,F,24,1,6.38,0.13,0.01,0.00,0.01,0.00,1.39,5.22,8.42,0.40,1.11,0.00,0.77,,,,,,,,,,,,
5557,F,24,2,7.59,0.12,0.00,0.00,0.00,0.00,1.30,5.82,8.30,0.35,1.14,0.00,0.85,,,,,,,,,,,,
5557,F,24,3,10.60,0.04,0.00,0.00,0.00,0.00,0.65,3.98,6.19,0.31,1.01,0.00,0.58,,,,,,,,,,,,
5557,F,24,4,7.82,0.05,0.00,0.00,0.00,0.00,0.82,6.80,11.60,0.51,1.36,0.00,1.15,,,,,,,,,,,,
5557,F,24,5,6.27,0.08,0.00,0.00,0.00,0.00,1.10,8.12,13.70,0.48,1.54,0.00,1.18,,,,,,,,,,,,
5557,F,24,6,7.32,0.06,0.00,0.00,0.00,0.00,0.84,4.99,7.22,0.36,1.14,0.00,0.89,,,,,,,,,,,,
5557,F,24,7,11.00,0.04,0.00,0.00,0.00,0.00,0.53,3.33,4.62,0.23,0.79,0.00,0.53,,,,,,,,,,,,
5557,F,24,8,6.97,0.06,0.00,0.00,0.00,0.00,1.00,6.85,11.50,0.58,1.83,0.00,1.08,,,,,,,,,,,,
5557,F,24,9,7.74,0.03,0.00,0.00,0.00,0.00,0.96,5.24,8.50,0.50,1.44,0.00,0.88,,,,,,,,,,,,
5557,F,24,10,10.10,0.03,0.00,0.00,0.00,0.00,0.72,5.39,6.60,0.41,1.51,0.00,0.71,,,,,,,,,,,,
5557,F,24,1,3.87,0.05,0.01,0.00,0.00,0.00,1.34,7.07,7.37,0.69,2.15,0.00,1.53,,,,,,,,,,,,
5557,F,24,2,9.59,0.04,0.00,0.00,0.00,0.00,0.76,4.74,4.71,0.40,1.01,0.00,0.89,,,,,,,,,,,,
5557,F,24,3,8.10,0.05,0.00,0.00,0.00,0.00,0.83,4.81,7.28,0.47,1.12,0.00,1.03,,,,,,,,,,,,
5557,F,24,4,9.40,0.03,0.00,0.00,0.00,0.00,0.68,3.40,3.33,0.35,0.94,0.00,0.64,,,,,,,,,,,,
5557,F,24,5,5.08,0.06,0.00,0.00,0.00,0.00,1.16,5.38,6.39,0.76,1.20,0.00,1.12,,,,,,,,,,,,
5557,F,24,6,2.93,0.05,0.00,0.00,0.00,0.00,1.14,9.09,10.10,0.81,2.27,0.00,2.17,,,,,,,,,,,,
5557,F,24,7,11.80,0.05,0.00,0.00,0.00,0.00,0.62,4.31,3.53,0.32,0.74,0.00,0.84,,,,,,,,,,,,
5557,F,24,8,4.93,0.07,0.00,0.00,0.00,0.00,1.18,8.02,8.45,0.76,1.59,0.00,1.81,,,,,,,,,,,,
5557,F,24,9,5.49,0.11,0.01,0.00,0.01,0.00,1.12,6.80,9.03,0.56,1.28,0.00,1.38,,,,,,,,,,,,
